"Reference","Value","Qty","Digi-Key"
"C11","3.3uF","1","P123489-ND"
"C20,C30","680nF","2","P14204-ND"
"C21,C31","2x680nF","2","P14204-ND"
"C40","10uF","1","445-C3216X7R1H106K160AECT-ND"
"Cbc1,Cbc2","2x390uF","2","493-7913-ND"
"Co1","1mF","1","565-2007-ND"
"CX1,CX2","1.5uF","2","P15515-ND"
"CY1,CY2,CY3","2.2nF","3","445-174537-ND"
"F1","15A","1","F3251-ND + 2 * F4225-ND"
"GD1","GDT_2Pin","1","2093-300-SM-RPLFCT-ND"
"HS1","ATS1490-ND","1","ATS1490-ND"
"J1","Screw_Terminal_01x03","1","A98496-ND"
"J2","+VO","1","732-74651194RCT-ND"
"J3","-VO","1","732-74651194RCT-ND"
"J4","Conn_01x04_Pin","1",""
"L1,L2","4.5mH","2","553-3962-ND"
"R1,R2,R3,R4,R5,R6","68k","6","311-68KERCT-ND"
"SK11,SK21,SK22","620V","3","495-5945-ND"
"TFR1","10R 139°C","1","285-1901-ND"
"U1","TUNS700F28","1","1776-1798-ND"
